"PID","event","avg.neutral","avg.happy","avg.sad","avg.angry","avg.surprised","avg.scared","avg.disgusted"
1,"syringe",0.718142118965517,0.439854339482759,0.00166406896551724,0.00254859648275862,0.140796452586207,7.55304310344828e-05,0.000788364551724138
1,"rrs",0.6171887876,0.3571449408,0.00098041852,0.00492267168,0.028270074,0.0095623936,0.00222574328
1,"ArtPlayer",0.929331195702645,0.0118780892362987,0.0155500953671169,0.00631763354012725,0.0180690237669383,0.0020772278997656,0.0040009225911374
2,"syringe",0.640539847232779,0.034273803888361,0.149995457022565,0.00278155814014252,0.0887138806353919,0.00217823443824228,0.00292649524465558
2,"rrs",0.585259181753846,0.0509744394523077,0.0336982957261538,0.00599999453538462,0.140278965446154,0.00117786648923077,0.00148415154769231
2,"ArtPlayer",0.982970407555556,0.0205242750663333,0.00642573678433333,0.00975789816011111,0.0319778947544444,0.000425201095555556,0.000969330399444444
3,"syringe",NA,NA,NA,NA,NA,NA,NA
3,"rrs",NA,NA,NA,NA,NA,NA,NA
3,"ArtPlayer",NA,NA,NA,NA,NA,NA,NA
4,"syringe",0.544573287413793,0.00772790217241379,0.134313992922414,0.00799834744827586,0.185504688724138,0.0109997879913793,0.0122099145862069
4,"rrs",0.593741041689373,0.223588320640327,0.00847188704904632,0.00342107921798365,0.107687251607629,0.0105543967656676,0.00618654598910082
4,"ArtPlayer",0.794134207709547,0.00921131272904527,0.0152647886680861,0.0110133265048185,0.0786206372729718,0.0283014224480054,0.00348085715150157
5,"syringe",0.419372482,0.2464163096,0.02553071336,0.00109772108,0.08983620235,0.00044738376,0.00548558326
5,"rrs",0.465205578584071,0.401155183495575,0.00752173270353982,0.000415927,0.0725540764159292,0.00224206396017699,0.00610427380973451
5,"ArtPlayer",0.887793850707504,0.015778254616205,0.0418239584507738,0.00122915229197555,0.0996443308112889,0.00192133444960333,0.00364777353921186
6,"syringe",0.355387730217822,0.779386781188119,0.00131469908910891,0.000315732188118812,0.0701738683168317,0.000644555544554455,0.00358818911881188
6,"rrs",0.411627850787634,0.359882430134409,0.0394028417983871,0.00138927756182796,0.0582935579193548,0.00349426285483871,0.00327919638978495
6,"ArtPlayer",0.834141529848248,0.0190830416259763,0.0668057103341888,0.00589811593628654,0.0233701895017853,0.00299151582236108,0.00214468992881053
7,"syringe",0.472293408695652,0.0345529305652174,0.0192765047391304,0.026299285,0.0161465194782609,0.00351712665217391,0.008258926
7,"rrs",0.500951356666667,0.244864991042553,0.0976461226170213,0.012425370177305,0.00843932678723404,0.00173509653900709,0.0158362549574468
7,"ArtPlayer",0.9499788682,0.0174535979275556,0.0157076753227778,0.00542086801044444,0.0249056692525556,0.003054873792,0.00236735128211111
